time,p,T,Tve,rho
0,100000,348.432,348.432,0.966971
2e-06,99329,348.386,348.432,0.96061
4e-06,98669,348.33,348.432,0.95438
6e-06,98012,348.267,348.432,0.948197
8e-06,97359.4,348.195,348.432,0.942077
1e-05,96712.5,348.116,348.432,0.936031
1.2e-05,96072.2,348.028,348.432,0.930069
1.4e-05,95439.2,347.931,348.432,0.924197
1.6e-05,94814,347.826,348.432,0.918421
1.8e-05,94197,347.712,348.432,0.912743
2e-05,93588.3,347.589,348.432,0.907165
2.2e-05,92988.2,347.457,348.432,0.90169
2.4e-05,92396.6,347.317,348.432,0.896317
2.6e-05,91813.6,347.167,348.432,0.891046
2.8e-05,91239.3,347.008,348.432,0.885878
3e-05,90673.4,346.84,348.432,0.88081
3.2e-05,90115.9,346.662,348.432,0.875842
3.4e-05,89566.8,346.476,348.432,0.870973
3.6e-05,89025.8,346.281,348.432,0.866201
3.8e-05,88492.9,346.076,348.432,0.861524
4e-05,87967.9,345.863,348.432,0.856941
4.2e-05,87450.6,345.641,348.432,0.85245
4.4e-05,86941,345.41,348.432,0.848047
4.6e-05,86438.9,345.173,348.432,0.843732
4.8e-05,85944.4,344.928,348.432,0.8395
5e-05,85457.1,344.676,348.432,0.83535
5.2e-05,84977.1,344.417,348.432,0.831281
5.4e-05,84504,344.152,348.432,0.82729
5.6e-05,84037.7,343.881,348.432,0.823375
5.8e-05,83578.2,343.603,348.432,0.819534
6e-05,83125.2,343.319,348.432,0.815766
6.2e-05,82678.6,343.03,348.432,0.812068
6.4e-05,82238.3,342.735,348.432,0.808438
6.6e-05,81804,342.434,348.432,0.804875
6.8e-05,81375.8,342.129,348.432,0.801377
7e-05,80953.4,341.818,348.432,0.797942
7.2e-05,80536.7,341.502,348.432,0.794568
7.4e-05,80125.6,341.182,348.432,0.791255
7.6e-05,79719.9,340.857,348.432,0.787999
7.8e-05,79319.6,340.528,348.432,0.7848
8e-05,78924.5,340.195,348.432,0.781655
8.2e-05,78534.5,339.858,348.432,0.778565
8.4e-05,78149.5,339.517,348.432,0.775526
8.6e-05,77769.4,339.172,348.432,0.772538
8.8e-05,77394,338.824,348.432,0.769599
9e-05,77023.4,338.473,348.432,0.766708
9.2e-05,76657.4,338.118,348.432,0.763864
9.4e-05,76295.8,337.761,348.432,0.761065
9.6e-05,75938.7,337.401,348.432,0.758311
9.8e-05,75585.8,337.039,348.432,0.755599
0.0001,75237.2,336.674,348.432,0.75293
0.000102,74892.8,336.307,348.432,0.750301
0.000104,74552.4,335.937,348.432,0.747713
0.000106,74216.1,335.566,348.432,0.745163
0.000108,73883.7,335.193,348.432,0.74265
0.00011,73555.1,334.819,348.432,0.740175
0.000112,73230.3,334.442,348.432,0.737736
0.000114,72909.3,334.065,348.432,0.735332
0.000116,72591.9,333.686,348.432,0.732962
0.000118,72278.1,333.306,348.432,0.730625
0.00012,71967.9,332.925,348.432,0.728321
0.000122,71661.1,332.544,348.432,0.726049
0.000124,71357.8,332.161,348.432,0.723808
0.000126,71057.8,331.778,348.432,0.721598
0.000128,70761.2,331.395,348.432,0.719417
0.00013,70467.9,331.011,348.432,0.717266
0.000132,70177.7,330.627,348.432,0.715143
0.000134,69890.8,330.242,348.432,0.713047
0.000136,69606.9,329.858,348.432,0.710979
0.000138,69326.1,329.473,348.432,0.708937
0.00014,69048.3,329.089,348.432,0.706921
0.000142,68773.4,328.704,348.432,0.704931
0.000144,68501.5,328.32,348.432,0.702965
0.000146,68232.5,327.936,348.432,0.701024
0.000148,67966.4,327.553,348.432,0.699107
0.00015,67703,327.17,348.432,0.697213
0.000152,67442.5,326.788,348.432,0.695342
0.000154,67184.6,326.406,348.432,0.693494
0.000156,66929.5,326.025,348.432,0.691668
0.000158,66677.1,325.645,348.432,0.689864
0.00016,66427.2,325.266,348.432,0.688081
0.000162,66180,324.887,348.432,0.686318
0.000164,65935.4,324.51,348.432,0.684577
0.000166,65693.2,324.133,348.432,0.682855
0.000168,65453.6,323.758,348.432,0.681153
0.00017,65216.4,323.383,348.432,0.67947
0.000172,64981.7,323.01,348.432,0.677807
0.000174,64749.3,322.638,348.432,0.676162
0.000176,64519.3,322.268,348.432,0.674535
0.000178,64291.7,321.898,348.432,0.672926
0.00018,64066.3,321.53,348.432,0.671335
0.000182,63843.2,321.163,348.432,0.669761
0.000184,63622.3,320.798,348.432,0.668204
0.000186,63403.6,320.433,348.432,0.666664
0.000188,63187,320.071,348.432,0.66514
0.00019,62972.6,319.709,348.432,0.663632
0.000192,62760.4,319.35,348.432,0.66214
0.000194,62550.2,318.991,348.432,0.660664
0.000196,62342,318.635,348.432,0.659203
0.000198,62135.9,318.279,348.432,0.657757
0.0002,61931.7,317.926,348.432,0.656325
0.000202,61729.6,317.573,348.432,0.654908
0.000204,61529.4,317.223,348.432,0.653506
0.000206,61331.1,316.874,348.432,0.652117
0.000208,61134.7,316.526,348.432,0.650742
0.00021,60940.2,316.18,348.432,0.649381
0.000212,60747.4,315.836,348.432,0.648033
0.000214,60556.1,315.493,348.432,0.646695
0.000216,60366.5,315.151,348.432,0.64537
0.000218,60178.4,314.811,348.432,0.644055
0.00022,59991.9,314.471,348.432,0.642751
0.000222,59807,314.134,348.432,0.641459
0.000224,59623.6,313.797,348.432,0.640177
0.000226,59441.7,313.462,348.432,0.638906
0.000228,59261.3,313.129,348.432,0.637646
0.00023,59082.4,312.796,348.432,0.636396
0.000232,58905.1,312.466,348.432,0.635157
0.000234,58729.2,312.137,348.432,0.633929
0.000236,58554.8,311.809,348.432,0.632711
0.000238,58381.8,311.482,348.432,0.631503
0.00024,58210.4,311.158,348.432,0.630306
0.000242,58040.3,310.834,348.432,0.629118
0.000244,57871.7,310.513,348.432,0.627941
0.000246,57704.6,310.192,348.432,0.626773
0.000248,57538.8,309.874,348.432,0.625616
0.00025,57374.5,309.556,348.432,0.624468
0.000252,57211.5,309.241,348.432,0.62333
0.000254,57049.9,308.927,348.432,0.622201
0.000256,56889.7,308.614,348.432,0.621082
0.000258,56730.9,308.303,348.432,0.619973
0.00026,56573.4,307.994,348.432,0.618873
0.000262,56417.2,307.686,348.432,0.617782
0.000264,56262.4,307.38,348.432,0.6167
0.000266,56108.9,307.075,348.432,0.615628
0.000268,55956.7,306.772,348.432,0.614565
0.00027,55805.8,306.471,348.432,0.61351
0.000272,55656.2,306.171,348.432,0.612465
0.000274,55507.9,305.872,348.432,0.611428
0.000276,55360.8,305.576,348.432,0.610401
0.000278,55215,305.281,348.432,0.609382
0.00028,55070.5,304.987,348.432,0.608371
0.000282,54927.2,304.695,348.432,0.607369
0.000284,54785.1,304.405,348.432,0.606376
0.000286,54644.2,304.116,348.432,0.605391
0.000288,54504.6,303.829,348.432,0.604415
0.00029,54366.1,303.543,348.432,0.603446
0.000292,54228.8,303.259,348.432,0.602486
0.000294,54092.7,302.977,348.432,0.601534
0.000296,53957.8,302.696,348.432,0.60059
0.000298,53824,302.417,348.432,0.599655
0.0003,53691.4,302.139,348.432,0.598727
0.000302,53560,301.863,348.432,0.597807
0.000304,53429.6,301.589,348.432,0.596895
0.000306,53300.4,301.316,348.432,0.59599
0.000308,53172.3,301.045,348.432,0.595094
0.00031,53045.3,300.775,348.432,0.594205
0.000312,52919.4,300.507,348.432,0.593323
0.000314,52794.6,300.24,348.432,0.59245
0.000316,52670.8,299.975,348.432,0.591583
0.000318,52548.1,299.712,348.432,0.590724
0.00032,52426.5,299.45,348.432,0.589872
0.000322,52306,299.19,348.432,0.589028
0.000324,52186.4,298.931,348.432,0.588191
0.000326,52068,298.673,348.432,0.587361
0.000328,51950.5,298.418,348.432,0.586538
0.00033,51834,298.164,348.432,0.585722
0.000332,51760.1,298.15,348.432,0.584913
0.000334,51689.1,298.15,348.432,0.584111
0.000336,51618.7,298.15,348.432,0.583315
0.000338,51548.8,298.15,348.432,0.582526
0.00034,51479.5,298.15,348.432,0.581742
0.000342,51410.8,298.15,348.432,0.580966
0.000344,51342.5,298.15,348.432,0.580195
0.000346,51274.8,298.15,348.432,0.579429
0.000348,51207.5,298.15,348.432,0.578668
0.00035,51140.6,298.15,348.432,0.577913
0.000352,51074.3,298.15,348.432,0.577163
0.000354,51008.3,298.15,348.432,0.576418
0.000356,50942.8,298.15,348.432,0.575677
0.000358,50877.7,298.15,348.432,0.574942
0.00036,50813,298.15,348.432,0.574211
0.000362,50748.8,298.15,348.432,0.573485
0.000364,50684.9,298.15,348.432,0.572763
0.000366,50621.4,298.15,348.432,0.572046
0.000368,50558.4,298.15,348.432,0.571333
0.00037,50495.7,298.15,348.432,0.570624
0.000372,50433.3,298.15,348.432,0.56992
